Site,14_M,15_F,15_M,16_F,16_M,17_F,17_M,18_F,18_M,19_F,19_M,20_F,20_M,21_F,21_M,22_F,22_M,23_F,23_M,24_F,24_M,25_F,25_M,26_F,26_M,27_F,27_M,28_F,28_M,29_F,29_M,30_F,30_M,31_F,31_M,32_F,32_M,33_F,33_M,34_F,34_M,35_F,35_M,36_F,36_M,37_F,37_M,38_F,38_M,39_F,39_M,40_F,40_M,41_F,41_M,42_F,42_M,43_F,43_M,44_F,44_M,45_F,45_M,46_F,46_M,47_F,47_M,48_F,48_M,49_F,49_M,50_F,50_M,51_F,51_M,52_F,52_M,53_F,53_M,54_F,54_M,55_F,55_M,56_F,56_M,57_F,57_M,58_F,58_M,59_F,59_M,60_F,60_M,61_F,61_M,62_F,62_M,63_F,63_M,64_F,64_M,65_F,65_M,66_F,66_M,67_F,67_M,68_F,68_M,69_F,69_M,70_F,70_M,71_F,71_M,72_F,72_M,73_F,73_M,74_F,74_M,75_F,75_M,76_F,76_M,77_F,77_M,78_F,78_M,79_F,79_M,80_F,80_M,81_F,81_M,82_F,82_M,83_F,83_M,84_F,84_M,85_F,85_M,86_F,86_M,87_F,87_M,88_F,88_M,89_F,89_M,90_F,90_M,91_F,91_M,92_F,92_M,93_F,93_M,94_F,94_M,95_F,95_M,96_F,96_M,97_F,97_M,98_F,99_F,102_F
Albania_Big_city,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,1,2,0,0,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0,3,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,3,2,0,0,1,0,0,1,4,0,1,0,0,1,1,0,1,0,1,2,0,1,0,0,1,0,1,4,0,0,0,1,1,0,1,1,0,0,2,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Albania_Country_village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,2,1,2,3,0,0,0,0,1,0,0,1,1,2,1,1,1,2,0,0,0,2,0,0,1,0,1,1,0,1,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,2,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania_Town_or_small_city,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria_Big_city,0,0,1,0,1,0,1,0,1,6,4,4,4,7,3,5,6,2,4,2,2,4,6,8,8,6,3,4,7,5,7,10,8,1,3,7,8,4,2,8,6,6,3,7,11,8,8,4,8,8,4,8,8,6,8,9,9,8,3,4,11,3,8,1,2,7,4,13,5,6,2,5,4,10,3,8,6,6,4,9,6,8,6,5,1,3,5,7,7,3,6,8,6,5,3,10,1,6,2,5,6,4,4,3,1,2,0,5,2,5,2,8,2,2,4,4,2,3,4,3,2,6,1,3,4,2,4,3,0,4,2,4,2,3,0,2,2,2,0,0,1,2,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Austria_Country_village,0,0,0,1,1,2,3,5,5,2,5,1,3,2,3,7,3,4,2,3,2,5,6,8,1,5,6,5,3,8,3,6,5,5,4,5,2,4,7,4,5,7,1,14,5,8,3,6,6,9,8,12,12,10,7,13,6,15,8,18,7,12,10,11,10,11,3,14,5,12,8,9,9,10,7,10,5,6,7,10,9,9,11,9,4,4,10,10,6,12,5,7,7,6,4,5,6,5,5,6,6,6,8,6,7,8,8,2,4,4,9,3,4,3,5,6,8,4,4,3,7,6,8,4,4,3,2,1,2,2,1,4,5,4,2,1,4,0,1,1,1,1,0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria_Farm_or_home_in_countryside,0,0,0,1,1,2,0,1,3,2,2,4,1,3,2,3,2,3,2,3,1,0,1,2,2,0,2,5,0,6,1,4,2,2,2,1,3,5,1,1,3,3,4,4,2,2,5,10,6,7,3,6,3,6,4,6,6,3,2,10,6,3,3,7,5,7,8,7,4,7,3,5,7,9,5,2,2,6,6,7,1,8,6,3,8,5,7,8,2,5,5,4,4,0,5,1,6,5,2,3,5,4,3,4,5,5,7,2,1,3,1,5,5,6,4,2,2,0,0,3,2,3,3,0,4,2,3,2,6,1,1,3,1,1,3,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,2,4,1,1,1,1,5,1,1,4,3,2,2,2,5,1,1,0,3,1,6,2,2,2,5,5,2,3,3,1,2,3,5,6,5,2,5,5,4,7,5,7,11,5,10,0,6,6,6,1,8,3,6,6,5,9,11,10,6,4,9,6,3,4,2,3,7,4,5,6,1,4,4,5,2,5,9,4,4,8,4,1,2,8,5,3,5,7,5,1,5,3,3,5,3,3,7,3,4,4,5,5,6,5,3,2,6,5,4,2,3,2,3,0,4,6,3,0,2,4,3,3,3,2,2,0,2,1,3,1,3,0,0,0,3,2,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Austria_Town_or_small_city,0,0,0,2,1,0,0,3,4,2,2,5,3,5,1,0,3,7,5,7,5,7,4,8,2,5,9,8,3,2,2,6,3,3,0,6,6,7,3,5,8,7,7,6,2,3,3,3,3,6,4,3,2,5,3,8,1,2,6,7,4,3,7,6,5,6,7,8,6,9,7,9,8,5,8,6,5,3,6,3,2,10,2,5,2,3,1,6,3,8,2,3,3,8,5,1,4,8,6,1,3,4,1,1,5,4,4,4,3,3,7,5,3,3,6,4,6,1,3,3,1,2,3,2,3,1,2,3,1,1,2,1,3,2,2,2,0,0,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_Big_city,0,0,1,1,0,1,1,0,3,5,5,2,4,1,3,2,3,7,4,6,4,4,11,2,9,5,3,5,3,3,4,6,5,8,11,8,6,4,4,4,9,5,8,7,7,5,2,6,7,3,5,8,6,5,3,2,3,3,5,3,5,5,3,5,11,2,4,4,6,5,6,2,5,4,4,5,5,7,2,7,5,2,7,3,5,2,4,1,5,6,3,2,2,3,4,2,3,2,5,3,2,4,1,1,4,1,0,1,1,1,3,3,5,2,2,1,5,0,1,2,2,0,1,2,2,1,3,1,0,4,2,5,2,1,3,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_Country_village,0,0,1,4,4,8,6,4,4,8,9,10,9,9,9,6,7,6,13,18,10,12,8,4,11,11,9,6,8,8,10,5,9,11,11,11,11,8,11,13,16,13,8,11,10,14,11,11,15,15,10,8,19,16,10,23,11,12,14,18,17,16,12,8,12,11,10,20,13,16,12,18,15,14,10,14,14,14,15,13,12,13,15,12,10,8,12,19,5,11,11,9,13,13,9,8,15,7,3,11,11,5,7,6,10,8,10,8,13,2,11,6,5,5,7,7,12,4,9,6,6,6,5,5,2,5,3,6,5,5,4,4,4,5,4,4,6,6,6,3,2,1,1,3,1,1,1,3,0,0,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Belgium_Farm_or_home_in_countryside,0,3,2,1,0,0,3,5,1,5,6,6,3,1,1,5,4,4,2,6,9,3,8,6,3,2,3,6,4,1,2,6,4,5,2,3,3,7,11,2,6,5,7,6,5,1,7,6,5,6,5,3,4,5,8,10,9,7,8,8,10,7,7,5,8,6,10,8,7,7,19,6,8,8,5,4,10,12,13,8,11,8,16,6,6,9,8,6,7,6,9,4,2,8,7,2,5,6,8,3,8,9,11,7,7,3,8,2,3,3,7,2,6,5,3,3,4,3,6,3,1,5,4,5,3,2,5,5,3,2,2,3,3,2,1,1,0,1,4,1,0,2,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_Suburbs_or_outskirts_of_big_city,0,1,1,2,1,2,3,3,2,3,6,4,6,2,5,7,5,4,5,1,4,3,9,5,5,4,3,9,5,7,0,3,5,5,9,7,2,9,4,4,10,8,6,11,11,4,6,5,5,6,5,14,7,7,6,4,5,8,10,9,4,11,10,11,10,4,8,11,10,6,2,10,8,9,3,14,8,12,6,8,7,10,8,7,7,10,10,4,9,10,8,4,5,6,10,10,7,4,4,5,5,7,6,3,9,10,10,2,3,2,2,6,4,3,7,7,7,8,6,4,2,2,2,2,3,2,1,3,3,3,4,1,3,4,2,3,1,2,4,1,1,1,7,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium_Town_or_small_city,0,0,0,1,3,4,1,5,2,5,5,2,1,4,3,7,6,2,6,8,4,7,3,2,9,4,9,6,6,5,5,5,7,8,3,6,2,11,1,11,7,5,6,6,6,6,8,5,12,3,13,8,3,4,9,7,3,4,7,5,2,2,7,5,9,4,4,5,3,5,10,6,2,6,7,7,4,3,2,6,8,2,4,4,2,4,4,2,5,4,7,3,3,9,5,2,3,7,8,4,4,4,4,5,2,5,4,3,3,2,4,3,6,2,6,4,1,3,4,1,5,5,2,0,4,0,3,0,3,1,2,5,1,0,2,2,0,0,0,0,3,2,1,0,0,2,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria_Big_city,0,0,0,0,0,0,1,4,1,2,0,2,2,5,3,6,7,3,8,4,1,2,2,8,4,4,3,7,9,6,2,10,3,7,10,8,9,10,7,5,6,8,8,16,5,11,6,8,5,11,5,16,5,3,4,10,11,10,9,8,10,6,6,10,5,11,5,12,12,12,13,14,4,11,7,12,6,16,8,12,5,12,5,12,5,15,6,15,5,12,7,8,11,14,8,14,10,10,7,9,5,13,8,14,8,12,8,10,9,12,7,7,4,9,5,5,6,8,6,6,2,12,4,8,2,6,6,5,1,5,6,6,2,5,3,4,2,6,2,3,0,1,3,1,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria_Country_village,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,1,1,0,2,0,4,0,1,2,2,3,0,1,0,1,2,2,1,2,1,1,1,2,3,0,3,2,4,3,2,5,3,4,8,5,3,6,5,4,5,3,3,3,4,1,2,2,2,4,6,3,4,4,7,4,7,9,3,2,2,4,5,6,3,2,7,3,3,5,4,7,11,8,7,6,5,3,4,6,8,6,4,6,4,6,3,10,5,3,5,3,4,10,7,13,4,8,7,6,4,12,2,5,7,3,4,11,5,4,1,4,8,4,5,2,2,2,2,3,4,5,2,4,5,2,2,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,1,2,0,1,0,0,1,1,0,0,1,0,0,2,1,1,2,1,0,5,0,0,0,1,1,1,0,0,0,1,1,1,2,3,0,1,1,3,4,0,1,1,2,0,0,0,0,1,1,3,0,1,0,2,1,2,0,2,3,2,2,2,1,1,1,3,0,2,0,1,0,1,0,2,0,0,0,0,2,1,0,2,3,1,0,1,2,2,1,2,1,1,2,1,2,0,0,1,0,2,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria_Town_or_small_city,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,1,3,1,3,2,3,0,0,3,3,8,1,1,5,2,0,3,4,3,1,4,3,2,2,2,3,2,6,1,1,2,3,3,3,2,7,7,2,3,4,4,1,3,4,5,2,1,6,2,4,1,12,5,4,3,4,1,5,3,3,1,7,6,2,4,4,2,7,6,4,7,4,7,8,4,5,6,5,1,3,2,6,2,3,4,7,3,1,2,6,3,5,4,3,3,5,3,2,2,5,0,2,3,1,1,2,3,4,1,4,1,3,0,0,2,1,3,0,3,0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Big_city,0,0,0,0,0,0,0,1,0,3,1,4,1,3,2,3,1,2,2,1,4,1,3,3,0,1,2,1,0,3,3,3,1,3,3,2,1,3,1,3,0,1,2,4,3,1,0,1,3,3,2,3,2,2,3,7,1,2,0,1,2,2,2,2,1,4,4,2,1,5,0,3,1,3,3,3,1,4,2,2,2,4,3,3,3,2,1,3,2,1,3,2,1,4,2,2,3,1,5,5,2,1,4,2,3,2,3,6,1,5,3,4,2,2,3,2,2,2,1,1,2,2,0,2,2,0,1,3,1,1,1,2,0,0,1,1,2,0,1,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Country_village,0,0,0,1,1,0,0,0,0,0,0,3,1,0,1,1,2,0,0,2,3,2,5,0,3,3,2,2,0,1,4,0,2,3,1,3,3,1,0,2,3,2,0,5,3,4,2,2,1,1,5,3,0,0,4,2,5,3,3,2,1,5,2,3,1,2,4,2,2,1,2,0,1,2,4,0,6,6,4,5,5,4,0,3,8,1,2,5,4,3,4,6,1,3,4,1,2,3,2,2,2,2,2,3,2,3,3,2,3,2,1,1,1,2,1,3,0,0,3,0,2,2,1,0,2,1,0,1,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,1,0,0,0,0,0,1,1,3,1,2,2,0,0,1,1,1,2,2,0,0,1,0,4,0,1,1,0,3,1,0,1,2,1,0,3,0,0,1,2,1,0,0,0,0,3,2,1,1,1,2,2,2,1,4,1,3,1,1,2,2,2,0,1,1,1,1,2,1,1,4,1,3,3,2,3,2,1,1,1,2,5,1,1,2,1,3,1,1,2,3,1,1,2,0,1,1,0,3,0,0,2,3,1,0,1,2,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Croatia_Town_or_small_city,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,1,1,0,2,1,2,2,1,0,3,0,0,2,2,1,1,0,6,1,2,1,2,1,3,2,1,2,2,2,1,1,4,1,0,1,3,1,3,1,4,2,3,0,0,2,0,2,2,2,4,0,2,1,1,0,3,2,0,1,4,2,1,2,3,4,6,2,2,3,3,0,1,2,1,4,0,3,1,3,3,2,0,1,1,2,1,1,3,1,1,0,1,1,1,2,2,1,1,0,3,0,0,0,1,0,0,1,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Big_city,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,6,0,3,5,2,2,2,6,9,7,6,4,6,5,5,8,3,4,1,3,4,6,6,2,5,1,8,1,4,1,3,3,2,3,8,3,2,3,5,5,3,3,6,3,5,1,3,6,1,1,1,3,3,3,3,2,3,3,2,2,4,3,3,2,3,2,4,4,2,3,4,2,3,2,4,2,4,1,2,4,3,5,6,4,2,1,3,4,5,1,5,2,2,3,2,4,1,7,5,2,1,2,3,3,0,3,0,2,0,4,3,3,3,2,1,3,0,1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Country_village,0,0,0,0,0,0,0,2,0,1,1,2,1,0,0,0,2,1,1,1,2,8,1,2,3,1,1,0,4,3,3,6,3,1,2,1,5,2,3,6,1,2,0,1,2,4,5,4,4,1,0,1,1,3,1,2,2,2,1,0,4,4,1,4,6,4,3,3,7,0,4,3,1,2,4,1,4,4,6,1,0,2,2,2,5,6,2,4,1,2,3,1,4,2,2,1,2,3,1,1,6,0,2,0,1,2,3,3,7,0,2,1,0,1,4,3,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,4,0,1,1,3,1,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Suburbs_or_outskirts_of_big_city,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,1,0,2,1,0,1,2,2,3,3,0,1,3,3,2,1,2,6,3,0,0,2,3,2,2,1,2,4,3,2,2,5,5,2,4,4,4,1,2,3,3,5,0,0,3,1,5,1,3,1,2,5,4,3,2,1,1,1,2,3,4,1,1,3,5,5,3,6,1,2,1,1,1,4,2,5,5,4,1,3,1,3,2,4,3,3,2,2,3,0,2,2,1,3,3,5,2,1,1,2,0,1,1,0,1,1,2,0,1,3,0,1,0,5,0,0,0,1,0,3,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus_Town_or_small_city,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,3,0,1,2,1,2,0,1,2,1,2,0,0,0,1,1,0,1,2,2,0,1,1,0,1,1,0,0,2,0,0,0,1,1,2,3,2,1,2,1,3,2,1,2,0,1,0,1,2,0,3,1,1,1,0,1,0,3,2,1,1,2,0,0,3,1,0,1,1,0,1,1,0,2,1,1,1,2,0,1,0,4,1,1,1,2,1,1,0,1,1,2,0,3,2,0,1,1,1,1,0,1,0,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
