Site,14_M,15_F,15_M,16_F,16_M,17_F,17_M,18_F,18_M,19_F,19_M,20_F,20_M,21_F,21_M,22_F,22_M,23_F,23_M,24_F,24_M,25_F,25_M,26_F,26_M,27_F,27_M,28_F,28_M,29_F,29_M,30_F,30_M,31_F,31_M,32_F,32_M,33_F,33_M,34_F,34_M,35_F,35_M,36_F,36_M,37_F,37_M,38_F,38_M,39_F,39_M,40_F,40_M,41_F,41_M,42_F,42_M,43_F,43_M,44_F,44_M,45_F,45_M,46_F,46_M,47_F,47_M,48_F,48_M,49_F,49_M,50_F,50_M,51_F,51_M,52_F,52_M,53_F,53_M,54_F,54_M,55_F,55_M,56_F,56_M,57_F,57_M,58_F,58_M,59_F,59_M,60_F,60_M,61_F,61_M,62_F,62_M,63_F,63_M,64_F,64_M,65_F,65_M,66_F,66_M,67_F,67_M,68_F,68_M,69_F,69_M,70_F,70_M,71_F,71_M,72_F,72_M,73_F,73_M,74_F,74_M,75_F,75_M,76_F,76_M,77_F,77_M,78_F,78_M,79_F,79_M,80_F,80_M,81_F,81_M,82_F,82_M,83_F,83_M,84_F,84_M,85_F,85_M,86_F,86_M,87_F,87_M,88_F,88_M,89_F,89_M,90_F,90_M,91_F,91_M,92_F,92_M,93_F,93_M,94_F,94_M,95_F,95_M,96_F,96_M,97_F,97_M,98_F,99_F,102_F
Czechia_Big_city,0,4,0,0,0,2,0,1,1,1,1,2,7,5,4,2,4,6,4,3,9,8,11,11,7,10,6,20,12,10,8,6,12,15,17,8,7,6,10,10,12,7,6,9,13,9,4,13,5,10,16,8,14,12,10,12,5,10,9,10,5,9,10,11,9,7,5,5,6,5,9,7,11,13,7,10,8,8,9,8,7,8,12,8,7,8,5,12,12,10,6,9,10,6,10,5,9,9,8,12,3,10,11,7,6,6,1,15,11,5,6,2,6,6,4,9,4,6,6,5,3,4,2,4,4,2,2,7,2,1,3,2,2,3,2,0,3,1,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia_Country_village,0,0,0,0,0,0,0,0,0,0,4,1,3,2,0,2,3,3,6,1,5,3,3,2,4,4,5,2,6,8,3,9,4,9,6,5,3,6,9,5,7,9,8,6,7,9,7,7,12,12,5,5,7,6,9,4,9,9,9,8,6,7,4,7,7,8,4,8,11,6,7,8,12,8,7,6,8,11,3,4,13,4,5,9,1,15,4,6,7,9,8,5,8,9,8,8,9,6,8,9,5,6,4,5,8,6,8,5,4,2,6,7,4,5,6,2,4,2,6,4,3,2,2,4,5,4,1,4,3,3,2,5,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,2,1,0,0,1,0,0,0,1,1,1,1,2,1,1,0,0,0,0,1,0,0,0,2,1,0,1,0,1,0,2,1,2,0,0,1,0,1,0,0,1,0,1,0,2,0,0,1,0,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia_Suburbs_or_outskirts_of_big_city,0,1,0,0,1,0,0,0,0,0,0,2,1,1,1,1,0,1,1,1,1,3,4,2,1,2,1,4,0,4,2,3,7,3,3,3,2,0,5,1,5,4,2,2,2,4,2,6,1,3,4,3,10,7,2,1,7,1,1,5,2,3,3,2,2,3,2,2,3,2,2,7,2,2,3,2,0,2,3,2,4,0,5,4,3,2,1,3,1,0,3,7,4,2,5,6,2,4,3,5,1,2,6,4,4,3,5,2,1,3,3,0,3,2,6,1,3,4,2,1,2,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czechia_Town_or_small_city,0,0,0,0,0,1,1,1,0,2,3,0,3,3,3,0,4,4,5,6,5,2,11,5,6,7,5,6,5,8,13,7,9,13,5,11,7,11,11,7,10,8,10,5,14,10,10,11,11,11,10,16,10,10,9,8,7,17,17,8,11,14,16,14,10,11,10,10,11,9,10,17,12,8,6,13,10,15,8,12,16,10,16,16,13,11,8,10,9,16,9,17,10,6,11,12,8,14,10,8,6,17,15,11,14,7,6,8,3,12,8,9,7,7,10,7,9,7,6,7,5,0,8,1,0,5,0,4,1,2,3,4,3,0,0,4,1,2,1,2,2,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Denmark_Big_city,0,0,1,0,1,1,0,0,0,1,2,1,8,4,6,5,11,6,6,7,10,4,10,9,7,12,6,9,11,11,3,6,8,5,10,4,4,6,4,8,5,5,6,3,8,5,7,4,2,6,4,5,2,4,6,2,2,5,4,5,3,4,5,3,5,4,2,2,4,3,3,2,4,1,5,2,3,3,9,2,1,2,2,1,3,2,3,4,3,4,4,4,3,1,1,3,4,5,3,2,3,2,1,1,3,2,1,4,1,1,4,1,2,3,1,1,0,2,1,6,0,2,0,0,0,0,1,2,0,4,0,2,5,0,0,0,0,4,0,1,0,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark_Country_village,0,0,2,3,1,1,2,2,2,3,0,1,4,1,3,0,2,0,0,1,0,0,1,0,0,1,1,4,0,1,2,1,1,3,1,2,1,3,0,3,2,5,4,2,2,2,2,2,2,3,1,6,2,6,3,4,4,4,8,2,5,1,4,2,6,2,4,3,3,3,2,4,1,2,5,1,4,5,4,3,3,5,6,3,1,4,6,5,7,2,6,4,5,4,6,3,5,5,7,1,2,3,2,0,5,6,4,5,3,1,2,2,1,2,2,2,2,3,1,2,1,0,1,2,2,0,1,1,1,1,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark_Farm_or_home_in_countryside,0,3,1,5,5,4,4,8,8,4,9,3,7,3,3,2,6,4,9,1,4,2,6,8,6,4,5,8,4,2,7,5,7,7,6,3,7,11,8,10,6,11,7,5,11,12,7,14,11,13,9,6,14,10,16,16,10,11,15,13,10,14,11,17,18,11,18,11,11,13,16,12,14,9,17,12,11,14,13,13,18,8,19,10,12,11,11,13,12,3,19,7,10,9,10,12,8,7,10,10,4,5,13,4,9,5,8,12,12,8,6,4,8,4,8,5,4,3,7,2,4,3,8,3,3,1,5,1,3,2,2,0,1,0,1,0,2,1,0,1,0,2,1,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Denmark_Suburbs_or_outskirts_of_big_city,0,3,1,11,5,4,7,2,13,10,7,7,7,8,10,1,11,6,4,5,3,4,11,8,5,3,5,6,5,5,7,5,7,12,8,7,11,9,8,8,7,6,15,9,9,6,10,11,12,15,7,14,8,16,14,11,6,13,5,13,9,6,10,14,12,8,12,16,7,13,12,8,12,11,11,10,12,9,10,10,5,14,12,14,12,4,12,8,11,14,4,13,10,7,10,14,6,10,10,12,16,15,10,9,5,11,10,4,16,5,9,6,6,6,7,4,6,8,4,7,7,6,6,2,5,4,5,4,1,1,5,3,5,1,7,3,3,4,1,3,1,3,1,3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Denmark_Town_or_small_city,0,3,0,9,4,1,6,2,3,3,8,5,3,3,6,3,3,3,3,7,3,5,5,6,2,2,1,2,0,3,1,7,2,6,2,1,5,8,2,4,2,3,2,2,4,3,3,5,8,10,8,5,7,3,3,6,9,7,7,7,4,5,11,11,7,6,5,8,3,7,3,7,6,5,2,6,7,6,4,1,10,9,5,7,6,8,6,8,5,4,0,5,8,3,7,7,14,8,3,7,4,5,4,8,7,4,6,4,2,5,5,9,6,4,5,4,4,4,2,4,4,1,5,4,3,2,3,3,3,1,6,2,1,1,3,0,1,1,1,2,1,4,0,2,1,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia_Big_city,0,2,1,0,3,1,1,1,1,1,7,6,5,6,8,9,4,7,7,9,6,6,9,10,8,10,5,9,9,17,5,16,5,14,7,11,9,7,11,12,12,7,8,5,9,7,6,13,8,9,5,11,5,14,7,7,8,10,9,6,5,7,5,8,9,7,8,8,8,7,7,12,9,9,10,12,8,6,8,12,2,14,8,19,9,9,4,12,7,11,6,10,12,5,7,9,7,5,5,10,2,10,5,7,3,10,6,3,6,9,3,17,6,11,4,7,5,7,4,9,2,6,3,6,5,13,2,6,2,5,5,11,2,3,2,5,5,2,2,3,1,0,0,2,0,0,2,0,0,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Estonia_Country_village,0,0,0,0,1,1,3,0,1,0,2,3,2,3,5,4,4,4,3,1,1,1,3,2,2,3,4,3,6,3,4,2,2,3,3,5,4,4,4,2,3,2,4,7,3,4,6,5,3,3,5,12,6,5,0,4,5,6,3,2,5,5,5,1,5,5,10,4,8,5,7,4,7,3,8,5,7,7,3,6,6,1,1,6,6,8,7,6,6,3,2,0,1,6,3,5,3,7,5,8,5,4,4,5,9,5,2,3,1,6,8,3,4,3,0,5,1,2,4,7,2,5,3,1,0,1,1,2,0,1,1,4,1,2,1,0,3,3,1,4,0,1,1,2,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Estonia_Farm_or_home_in_countryside,0,0,0,0,1,2,0,1,2,2,4,1,3,1,3,1,5,4,3,3,5,2,6,3,6,2,3,6,0,3,4,4,5,2,3,3,7,9,3,2,4,5,4,4,6,4,10,6,4,3,5,5,10,3,6,10,8,4,9,7,5,7,5,9,4,2,5,7,7,6,1,8,10,7,6,10,8,3,4,6,7,10,8,10,5,10,10,3,3,11,9,8,6,5,3,8,10,6,5,3,3,8,6,10,3,11,5,11,4,3,6,9,4,4,8,4,1,5,3,4,2,4,4,6,4,7,3,8,1,3,3,9,1,4,2,4,3,2,0,2,3,5,2,1,1,1,0,0,0,4,2,0,0,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Estonia_Suburbs_or_outskirts_of_big_city,0,0,0,1,1,1,0,4,1,1,0,4,2,3,2,1,1,3,4,5,2,1,4,4,4,4,3,5,5,4,7,4,9,7,4,8,1,1,1,7,3,1,7,5,12,4,3,5,5,4,3,3,6,5,1,7,3,6,2,4,5,8,4,3,5,6,6,6,5,0,5,9,2,4,2,2,7,4,6,4,6,5,4,5,4,2,3,4,7,1,3,4,3,3,6,2,1,5,3,1,5,2,3,4,1,4,3,8,4,5,4,4,0,1,5,0,2,2,3,3,2,7,2,5,3,6,1,5,1,2,1,3,1,2,0,3,2,1,2,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estonia_Town_or_small_city,0,0,1,1,3,3,1,2,3,4,8,4,10,6,5,6,1,1,3,4,1,10,4,8,9,5,9,7,6,10,5,5,5,8,7,8,3,7,3,7,6,6,8,7,3,8,7,5,9,8,3,2,7,6,6,7,3,9,7,8,7,10,4,9,4,5,0,9,9,10,4,5,7,4,6,13,6,7,5,9,7,8,7,3,4,4,7,9,13,10,6,13,5,11,5,7,3,6,10,7,6,7,10,6,6,10,7,5,5,5,2,7,5,5,3,4,6,6,7,7,5,3,3,6,4,5,4,5,4,6,0,4,2,4,5,2,2,2,1,5,3,3,3,4,0,4,0,4,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland_Big_city,0,1,2,5,3,3,5,2,2,14,3,7,7,3,5,14,8,6,5,18,10,13,10,11,8,9,8,9,12,9,16,12,6,12,5,6,9,6,13,5,8,10,3,7,7,8,8,6,6,8,4,10,9,10,6,6,4,6,8,8,4,8,6,7,7,6,8,8,8,2,14,6,8,5,8,5,5,7,4,9,9,11,14,9,14,11,0,6,6,8,7,9,8,1,9,7,10,9,9,3,10,5,7,9,1,8,2,6,8,2,6,6,3,6,7,3,3,5,4,2,5,6,2,3,1,3,1,5,3,5,2,1,2,1,1,0,1,0,1,3,0,2,1,3,0,2,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Finland_Country_village,0,1,2,8,4,8,5,2,2,1,3,0,2,3,3,1,4,1,4,4,3,3,2,3,2,5,2,3,7,4,5,5,4,5,3,4,3,6,5,2,3,4,4,8,3,7,7,7,4,6,7,6,5,5,7,6,6,5,7,2,5,2,5,6,3,4,8,5,9,5,5,7,6,5,3,2,8,6,3,5,4,4,7,11,11,7,7,5,6,4,6,4,6,6,7,1,7,11,8,8,8,5,3,8,5,6,10,5,4,3,6,7,6,8,3,3,2,7,5,3,3,4,3,6,5,4,3,3,4,4,0,2,4,1,1,3,2,1,0,3,1,3,1,1,1,1,0,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Finland_Farm_or_home_in_countryside,0,4,12,19,10,19,11,17,25,8,24,13,11,6,8,2,10,14,11,10,13,12,11,8,17,9,14,10,20,22,13,20,15,21,23,17,14,12,18,19,20,15,24,22,27,26,26,23,28,28,27,30,27,22,31,31,28,29,17,29,26,29,32,29,30,31,22,30,30,35,33,29,34,29,40,22,44,31,42,29,44,35,44,31,46,32,43,45,41,35,45,34,38,26,44,25,39,29,41,28,52,36,29,24,23,33,40,22,39,22,34,29,23,29,30,22,19,26,34,14,10,12,20,17,14,21,17,21,16,17,16,17,15,19,13,17,5,13,9,10,7,12,7,3,9,6,3,4,2,3,2,3,3,0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0
Finland_Suburbs_or_outskirts_of_big_city,0,5,4,7,3,10,1,3,6,7,9,5,10,4,7,5,13,12,14,16,5,11,8,12,11,7,9,8,8,14,9,9,4,7,11,14,12,9,10,10,10,10,8,6,8,13,9,10,12,8,13,16,13,9,9,14,8,6,11,8,10,12,13,4,7,4,7,5,9,9,7,12,8,15,11,12,17,6,11,7,13,10,6,11,8,12,9,8,6,7,6,13,9,12,9,8,3,12,6,7,4,10,4,10,1,16,7,8,5,10,7,5,6,7,3,8,9,8,2,4,3,4,9,3,12,4,3,4,3,4,3,2,2,4,3,8,4,2,4,4,1,1,3,0,2,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Finland_Town_or_small_city,0,3,2,3,4,4,4,7,2,6,5,7,4,1,6,6,7,7,8,10,3,13,11,7,1,10,3,3,4,4,3,5,9,6,9,9,2,6,9,11,7,7,9,6,4,8,6,7,12,5,4,9,15,9,9,10,11,10,9,3,15,9,11,11,10,8,8,6,8,8,7,6,7,8,11,17,9,9,4,10,14,8,3,14,5,6,11,11,8,10,6,14,8,7,7,11,8,12,15,9,15,11,9,15,17,10,3,5,9,7,5,4,3,4,7,10,2,3,6,9,4,4,4,5,3,12,5,4,2,7,7,4,2,4,3,4,2,1,3,2,4,6,0,3,0,2,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France_Big_city,0,0,0,0,1,3,2,0,0,7,2,3,3,12,6,10,2,8,6,4,6,10,8,7,5,8,4,4,13,8,8,4,9,9,3,7,8,7,7,15,9,4,4,7,7,8,4,9,5,7,10,6,6,6,5,8,4,2,2,3,7,4,6,6,5,5,6,7,5,10,10,8,5,5,7,4,7,7,7,9,5,4,7,3,7,3,7,7,7,7,2,6,6,5,4,7,9,5,7,3,5,3,2,9,9,7,5,2,5,5,0,8,6,8,3,3,4,5,2,5,3,3,1,3,1,3,3,2,1,5,3,3,3,6,1,3,1,3,2,2,2,2,2,2,0,2,2,1,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
France_Country_village,0,0,1,2,1,0,0,3,1,0,3,0,3,1,2,0,2,2,4,6,0,3,3,4,3,4,5,7,2,6,4,5,1,6,5,4,5,13,7,6,5,6,5,11,4,14,5,5,10,10,6,2,5,9,7,6,8,7,6,4,12,4,7,10,6,6,10,6,4,11,11,3,5,5,5,16,10,9,10,10,10,14,9,8,14,5,5,6,11,9,8,8,11,8,6,7,9,8,13,11,9,5,9,1,9,10,5,5,8,7,5,9,3,7,6,2,1,5,5,3,9,5,0,5,2,3,7,3,2,2,0,7,0,3,0,2,3,3,1,3,2,2,1,0,0,2,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
France_Farm_or_home_in_countryside,0,0,0,1,0,0,4,0,3,0,3,1,1,3,0,2,3,0,1,2,2,3,2,3,3,5,3,4,2,4,4,8,4,6,5,4,5,5,6,8,7,10,14,7,7,10,9,7,5,9,3,10,8,5,4,6,10,6,4,5,6,4,10,8,11,8,9,5,9,12,7,8,9,8,10,6,11,6,7,9,11,7,9,3,8,8,8,9,11,8,7,14,7,7,13,8,9,6,10,7,5,11,7,3,6,6,7,2,5,6,6,4,7,7,9,6,4,9,2,5,6,1,5,4,5,5,3,5,7,1,2,5,5,5,3,2,2,2,1,2,5,2,4,1,5,4,2,3,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France_Suburbs_or_outskirts_of_big_city,0,1,0,1,0,0,1,3,2,1,3,0,3,0,6,7,6,5,3,6,6,6,3,8,7,4,4,4,7,8,7,4,6,7,7,8,8,10,8,10,8,7,7,1,14,10,4,6,9,10,11,10,14,10,4,4,7,10,7,5,14,3,10,4,6,3,12,5,7,8,10,6,5,5,6,5,8,8,6,5,4,5,7,7,10,6,14,11,8,7,8,8,4,7,6,6,10,7,8,10,9,9,4,11,7,10,5,4,4,2,6,7,9,2,8,10,4,5,7,4,7,2,5,3,6,2,3,1,4,4,2,0,2,3,1,2,3,4,0,4,2,1,2,5,1,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France_Town_or_small_city,0,0,0,0,0,2,2,3,1,2,4,5,6,4,5,9,1,4,1,8,8,5,3,5,6,5,5,3,6,5,2,7,2,6,8,4,6,8,8,10,6,3,5,6,8,8,8,10,5,7,3,8,4,11,8,12,6,10,8,6,7,8,11,13,5,8,5,11,8,15,8,6,5,8,12,5,6,9,8,4,6,15,8,9,5,7,5,13,3,7,3,10,8,5,8,9,7,13,2,12,4,5,5,12,4,7,5,9,6,5,6,4,3,7,4,10,3,6,4,4,2,3,5,8,5,8,3,6,4,6,3,3,4,3,4,2,1,5,1,1,1,0,0,1,0,1,2,3,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Germany_Big_city,0,0,1,1,1,3,1,2,2,4,7,3,4,6,6,9,11,10,6,3,11,9,9,13,7,12,15,10,14,7,13,6,8,7,11,9,6,6,16,11,9,10,13,6,12,11,11,8,14,11,7,13,11,21,14,9,9,5,15,13,5,7,8,12,16,11,7,6,10,15,11,12,7,15,8,2,13,13,14,11,7,9,11,15,9,6,7,13,7,10,9,11,7,7,7,7,8,8,9,7,9,10,13,9,10,11,8,6,13,7,5,11,7,7,7,8,8,9,6,8,14,5,4,5,5,4,5,2,1,1,4,2,5,1,3,2,0,4,0,1,0,2,0,2,1,2,2,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Germany_Country_village,0,2,2,2,6,9,2,5,14,9,8,12,6,9,11,5,14,4,12,3,7,2,9,8,9,8,7,1,5,9,9,9,5,6,17,12,8,6,7,10,10,10,9,8,13,11,7,13,16,16,8,17,19,12,17,16,11,12,23,21,11,14,11,18,17,10,19,15,9,14,12,15,23,26,10,17,16,11,16,16,20,9,16,13,14,10,16,11,15,17,10,11,11,12,5,9,24,6,12,14,16,8,13,8,18,13,10,10,20,8,7,3,12,9,13,5,14,8,6,6,7,4,5,5,9,11,7,6,1,3,5,4,3,3,5,3,2,1,3,1,0,0,3,3,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany_Farm_or_home_in_countryside,0,0,1,1,4,1,4,0,4,2,5,3,2,2,1,3,0,1,2,2,2,2,1,1,1,0,0,3,4,0,4,2,0,5,2,3,1,3,5,2,4,2,1,2,3,5,7,3,1,0,4,5,5,5,5,2,5,4,2,7,8,4,6,7,7,5,7,8,5,7,4,7,6,5,9,3,2,3,5,6,4,3,5,5,4,5,6,5,4,3,5,2,2,4,6,5,7,3,2,4,6,1,3,2,4,5,3,3,5,2,1,0,3,1,5,2,6,1,2,2,3,2,3,1,2,1,2,2,1,1,1,0,2,1,2,0,2,1,3,1,0,2,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany_Suburbs_or_outskirts_of_big_city,0,1,0,1,6,7,4,3,11,8,11,6,4,7,8,5,6,6,10,5,11,12,8,11,8,2,10,5,9,9,10,7,10,8,6,7,5,10,17,12,14,13,10,14,9,9,7,17,13,13,12,15,11,14,9,11,24,23,5,16,12,16,8,15,18,18,16,20,9,16,28,19,24,11,10,18,15,18,20,17,11,20,18,10,15,12,14,8,13,14,17,18,9,13,11,15,14,10,16,9,14,7,18,21,14,16,15,17,17,15,16,11,11,13,12,14,16,8,9,10,9,11,8,10,10,10,8,7,10,6,4,4,3,6,5,5,3,3,5,3,5,3,1,3,2,1,2,2,1,2,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Germany_Town_or_small_city,0,1,2,3,2,10,4,9,9,8,13,8,14,6,7,12,9,7,7,18,9,14,10,12,12,9,11,8,8,9,7,13,6,13,8,12,13,16,13,11,7,12,11,13,10,12,11,19,7,18,18,15,19,17,16,9,13,20,14,12,17,22,10,14,24,19,17,27,19,13,21,14,15,22,19,18,13,16,24,15,24,23,20,15,15,23,19,22,19,15,9,18,12,9,12,17,16,11,14,19,17,8,21,8,18,12,15,15,14,16,16,20,15,15,8,11,15,10,12,8,11,8,19,10,6,6,8,14,7,7,2,5,4,2,3,6,2,4,0,4,2,2,1,3,1,2,3,1,1,2,1,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
