Site,14_M,15_F,15_M,16_F,16_M,17_F,17_M,18_F,18_M,19_F,19_M,20_F,20_M,21_F,21_M,22_F,22_M,23_F,23_M,24_F,24_M,25_F,25_M,26_F,26_M,27_F,27_M,28_F,28_M,29_F,29_M,30_F,30_M,31_F,31_M,32_F,32_M,33_F,33_M,34_F,34_M,35_F,35_M,36_F,36_M,37_F,37_M,38_F,38_M,39_F,39_M,40_F,40_M,41_F,41_M,42_F,42_M,43_F,43_M,44_F,44_M,45_F,45_M,46_F,46_M,47_F,47_M,48_F,48_M,49_F,49_M,50_F,50_M,51_F,51_M,52_F,52_M,53_F,53_M,54_F,54_M,55_F,55_M,56_F,56_M,57_F,57_M,58_F,58_M,59_F,59_M,60_F,60_M,61_F,61_M,62_F,62_M,63_F,63_M,64_F,64_M,65_F,65_M,66_F,66_M,67_F,67_M,68_F,68_M,69_F,69_M,70_F,70_M,71_F,71_M,72_F,72_M,73_F,73_M,74_F,74_M,75_F,75_M,76_F,76_M,77_F,77_M,78_F,78_M,79_F,79_M,80_F,80_M,81_F,81_M,82_F,82_M,83_F,83_M,84_F,84_M,85_F,85_M,86_F,86_M,87_F,87_M,88_F,88_M,89_F,89_M,90_F,90_M,91_F,91_M,92_F,92_M,93_F,93_M,94_F,94_M,95_F,95_M,96_F,96_M,97_F,97_M,98_F,99_F,102_F
Kosovo _Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosovo _Town_or_small_city,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Big_city,0,1,0,1,0,0,1,0,0,0,1,1,0,2,0,2,1,0,1,1,0,2,1,2,3,2,0,1,2,2,0,0,1,4,2,2,1,1,4,1,1,1,4,1,0,2,2,1,0,3,3,5,3,2,3,1,0,8,0,1,3,0,2,2,3,4,1,0,2,4,2,3,1,5,3,2,2,1,1,2,0,1,0,1,0,1,2,2,0,1,4,4,0,2,4,3,1,0,0,0,0,5,0,1,0,3,0,2,0,1,2,5,1,2,0,2,2,4,0,1,0,1,0,0,2,1,0,3,0,2,1,2,1,1,0,2,1,1,1,2,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Country_village,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,1,1,2,0,0,0,1,1,1,1,1,0,0,1,1,1,2,0,0,1,3,0,2,1,2,0,0,0,1,0,2,0,2,1,1,0,0,0,1,0,0,2,1,0,2,0,2,0,1,1,2,0,1,0,0,1,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Farm_or_home_in_countryside,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,0,1,1,1,2,2,0,1,2,3,1,3,1,0,0,1,2,0,0,0,2,1,0,4,2,0,2,0,4,0,1,3,1,5,0,1,1,2,2,2,5,3,5,2,1,0,3,5,2,0,1,6,1,6,4,3,1,5,4,6,5,4,2,2,5,4,6,0,4,2,3,2,2,2,2,1,1,2,3,3,4,3,3,3,3,0,4,0,5,4,6,2,6,1,6,0,3,1,4,1,2,1,3,2,3,2,3,2,3,0,2,1,6,0,3,1,2,2,1,0,1,0,2,0,1,1,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,2,1,1,0,0,1,0,0,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latvia_Town_or_small_city,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,3,1,1,0,0,2,2,2,1,1,0,2,0,0,1,4,1,2,0,3,3,1,1,0,2,6,3,2,3,3,0,2,0,0,0,2,0,2,1,2,1,1,0,6,2,0,1,1,1,1,0,0,0,1,1,4,1,3,3,1,3,1,2,2,1,1,1,1,1,2,2,2,2,1,0,3,1,1,0,2,0,1,0,2,1,2,0,2,2,5,1,0,1,4,0,2,1,1,0,2,0,2,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,3,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Big_city,0,0,0,0,0,0,0,1,0,1,2,2,1,1,2,4,2,2,6,3,5,4,2,4,12,5,1,5,10,6,5,7,8,4,5,10,10,3,5,5,6,10,6,9,3,5,8,6,7,14,5,11,5,4,2,7,6,8,6,9,3,4,3,13,4,8,7,9,4,3,5,7,8,7,3,7,7,10,4,8,2,7,3,6,8,14,4,12,6,8,3,9,7,5,1,9,4,6,1,6,3,4,6,5,6,4,2,6,2,10,6,7,3,5,0,8,6,7,4,4,0,6,1,2,2,4,1,5,1,3,2,4,0,3,0,2,1,1,1,2,1,0,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Country_village,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,3,1,1,1,3,3,0,1,0,1,0,0,2,3,1,3,3,2,2,3,1,1,2,4,5,1,2,3,0,0,3,2,1,2,1,2,5,5,3,3,5,4,5,3,3,4,2,2,5,8,4,6,3,6,7,3,6,5,3,4,4,5,2,6,7,5,5,5,4,5,4,6,7,3,3,3,7,3,4,4,10,5,4,4,4,2,8,1,5,3,7,1,8,3,6,7,6,3,5,3,3,3,8,6,5,0,3,2,3,2,4,3,0,2,5,0,0,0,2,0,1,1,1,0,0,0,2,0,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,2,0,0,1,2,1,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,2,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,2,2,3,0,0,1,2,0,4,1,0,0,0,4,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithuania_Town_or_small_city,0,0,0,0,0,0,0,1,1,1,2,0,1,0,1,2,2,3,2,4,0,3,0,2,3,1,0,3,3,3,1,7,2,6,1,3,1,1,4,7,1,2,1,2,2,3,2,6,1,6,2,2,7,4,3,1,2,5,2,3,5,12,3,2,5,6,5,3,5,8,5,8,3,5,4,8,2,4,3,5,6,10,7,8,4,9,2,6,3,6,5,10,9,4,3,7,3,2,3,4,2,8,2,7,6,11,3,6,4,11,3,11,4,5,6,3,2,6,4,5,1,3,1,4,0,1,0,4,2,3,3,8,0,4,2,3,0,4,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Luxembourg_Big_city,0,1,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,1,2,0,0,1,0,0,1,0,0,1,1,1,3,1,0,2,0,1,2,2,0,2,0,1,0,0,1,1,3,1,0,1,0,1,0,0,1,1,1,0,0,0,1,2,1,3,0,0,0,0,0,3,2,2,2,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg_Country_village,0,3,0,2,1,1,5,1,3,3,2,1,1,2,2,4,1,2,0,1,3,5,2,2,1,1,2,0,2,1,0,5,2,1,0,2,3,1,1,6,4,1,1,2,7,1,4,3,7,2,5,2,1,1,2,4,4,7,2,2,5,2,4,2,1,2,0,4,2,3,1,4,4,1,2,0,1,2,1,2,1,3,3,5,1,0,4,1,3,4,5,5,2,1,2,3,4,1,0,1,2,4,0,1,2,3,1,2,1,0,1,1,1,0,0,1,0,0,1,2,1,1,1,1,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg_Farm_or_home_in_countryside,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg_Suburbs_or_outskirts_of_big_city,0,0,0,1,0,2,0,2,2,1,0,1,0,1,1,0,1,1,0,0,2,0,1,0,0,0,1,0,0,1,2,0,2,0,1,3,3,3,2,0,1,0,2,3,0,2,3,1,3,3,1,0,4,2,0,1,0,0,0,0,0,1,3,0,1,0,3,1,0,1,1,1,3,0,0,3,1,2,1,4,1,1,1,0,1,2,0,1,1,0,2,1,3,0,2,0,1,1,2,1,0,2,2,0,0,2,1,1,1,0,1,1,1,1,1,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg_Town_or_small_city,0,0,0,1,1,0,1,1,2,1,1,1,1,0,1,0,2,0,1,1,3,3,2,1,0,2,2,2,1,2,0,0,0,2,2,2,1,1,2,0,3,0,1,0,0,0,3,0,1,5,1,1,2,0,2,0,2,3,0,0,2,1,1,2,2,0,1,1,2,1,3,1,2,0,1,0,1,0,0,0,2,1,0,1,1,1,0,2,0,1,1,2,0,0,2,0,3,0,2,0,1,1,1,0,2,0,1,1,2,1,1,3,1,2,1,1,1,0,1,2,1,0,0,2,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro_Big_city,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro_Country_village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,2,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro_Farm_or_home_in_countryside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro_Suburbs_or_outskirts_of_big_city,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,1,1,1,0,2,1,0,0,4,1,0,0,2,2,0,0,2,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,2,3,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,2,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro_Town_or_small_city,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,2,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,1,2,0,0,0,2,0,0,0,0,3,2,1,2,0,0,0,2,0,0,2,1,0,3,1,0,2,0,2,0,1,1,4,0,1,1,2,2,0,1,0,2,1,0,2,0,1,0,1,1,4,1,0,0,2,0,0,0,0,1,1,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands_Big_city,0,1,1,6,3,5,5,2,2,0,2,2,6,6,7,5,2,7,12,10,7,8,3,8,7,10,11,12,10,11,11,8,8,15,5,5,8,10,6,5,12,6,3,7,10,7,5,10,5,3,6,17,6,11,10,9,4,10,6,6,7,5,6,10,8,13,6,5,8,7,12,5,6,13,8,19,8,11,11,8,7,15,6,8,5,7,7,4,6,6,6,6,5,9,12,10,4,5,7,9,9,5,1,7,6,6,4,6,3,4,8,6,4,7,4,6,4,1,4,3,4,1,7,3,2,2,3,1,1,3,2,4,2,0,2,2,4,0,3,2,0,2,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Netherlands_Country_village,0,2,2,8,2,4,5,5,3,4,5,4,7,4,5,6,3,7,5,7,5,5,7,3,2,5,5,12,4,7,10,11,8,12,9,13,10,12,4,6,11,18,13,11,8,15,15,10,7,12,18,9,9,15,11,15,10,17,12,10,9,16,12,14,15,13,9,14,7,9,13,5,18,18,6,20,12,15,12,11,10,15,11,15,9,15,12,15,11,12,16,18,12,11,8,8,10,10,13,8,12,8,12,12,12,8,7,17,10,14,11,12,11,11,5,7,15,5,8,11,10,4,4,5,7,3,7,8,7,5,3,4,3,5,3,4,3,5,2,6,2,2,1,0,2,1,1,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands_Farm_or_home_in_countryside,0,1,1,2,3,2,3,2,3,4,4,4,2,4,0,4,3,0,4,1,1,2,1,2,5,3,4,2,3,3,2,4,4,2,3,1,5,5,3,5,2,1,7,3,6,3,5,5,6,11,7,5,4,4,8,6,3,10,7,9,3,4,6,4,9,4,5,6,4,10,6,11,6,5,3,7,13,6,5,6,5,9,6,7,4,8,7,12,6,7,4,8,12,6,11,10,8,10,7,6,5,4,7,4,11,3,3,4,9,1,7,2,5,3,9,3,12,4,5,3,4,1,7,0,1,1,1,0,3,2,2,1,0,2,2,0,4,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands_Suburbs_or_outskirts_of_big_city,0,0,0,3,3,0,2,2,2,2,5,3,4,3,2,2,2,0,5,6,3,1,3,7,2,4,3,1,2,5,2,6,3,8,7,4,4,10,3,9,4,8,3,3,5,11,8,4,5,10,6,9,3,12,7,13,8,8,7,6,7,12,13,8,10,10,6,11,14,18,7,6,8,9,9,5,10,2,11,6,2,8,2,5,6,8,4,6,4,5,7,8,4,5,7,12,11,7,9,7,7,7,7,5,5,5,7,6,4,5,6,11,12,4,5,8,3,4,2,2,7,2,5,5,4,3,3,4,2,1,5,6,4,0,1,3,2,3,1,5,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands_Town_or_small_city,0,2,1,2,1,2,5,3,2,2,2,3,0,7,0,5,2,4,4,3,1,6,1,3,3,9,3,8,4,6,2,4,4,7,5,8,2,12,7,7,5,7,12,11,9,10,6,8,11,8,10,13,11,4,6,5,9,12,8,8,8,10,3,7,3,11,8,10,5,10,6,13,5,4,6,12,8,8,4,7,6,4,6,8,6,8,6,7,12,7,7,5,6,7,4,7,10,2,5,4,6,7,10,2,4,5,8,3,7,6,7,7,4,3,6,6,4,3,5,3,4,2,2,3,5,5,5,0,5,1,2,0,4,4,3,0,3,1,1,1,0,1,0,0,2,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Norway_Big_city,0,2,0,0,1,2,2,5,1,1,4,3,3,7,3,5,12,4,12,8,6,5,3,13,9,11,9,13,10,11,6,9,10,7,16,7,5,7,8,10,9,8,7,5,11,6,2,4,3,6,6,6,9,6,2,5,5,4,3,9,9,2,4,3,5,5,7,7,6,2,8,0,6,6,5,1,4,4,5,2,3,3,2,0,6,4,6,5,8,3,2,4,1,1,3,3,5,5,5,2,2,3,1,5,1,1,2,2,4,3,1,2,2,1,5,5,3,2,4,1,1,2,1,5,3,2,2,4,2,4,2,2,1,3,0,2,0,2,1,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Norway_Country_village,0,2,1,8,1,7,5,6,7,4,4,3,5,3,4,0,4,6,2,6,4,1,3,2,4,1,4,5,5,5,7,2,3,4,3,3,5,2,2,3,6,7,6,9,6,3,8,9,6,7,10,7,9,7,4,4,7,5,6,3,7,6,6,5,5,5,7,4,10,4,4,9,6,4,12,8,3,4,6,2,5,8,9,11,1,4,9,9,5,3,7,2,6,6,9,8,8,5,7,4,5,2,3,6,4,3,8,1,4,2,6,5,2,3,3,0,3,2,3,2,2,3,3,1,1,0,1,2,3,0,2,3,4,1,1,0,3,0,1,3,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0
Norway_Farm_or_home_in_countryside,0,3,5,4,10,14,13,9,9,8,16,9,8,12,14,8,12,4,16,8,10,7,7,15,11,11,13,17,17,9,15,15,20,12,25,19,19,13,21,19,26,26,17,19,19,13,20,19,28,30,29,24,22,21,16,28,21,22,27,18,37,29,20,18,27,25,20,23,32,26,29,27,30,30,18,30,32,24,34,24,40,30,36,26,36,26,39,22,34,24,35,25,37,16,28,22,32,21,37,16,25,17,25,12,27,16,19,18,24,13,20,14,14,10,18,13,19,8,14,10,17,15,22,9,9,4,10,9,7,6,7,5,6,6,11,4,8,8,6,3,8,3,5,4,5,3,5,4,2,1,2,0,1,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
Norway_Suburbs_or_outskirts_of_big_city,0,3,0,4,6,7,8,6,12,10,10,10,5,5,11,10,11,6,12,8,8,8,7,8,11,4,6,3,11,6,15,10,8,4,13,9,8,13,13,13,14,11,12,12,13,20,14,11,19,17,12,15,20,14,18,13,15,15,12,15,13,6,8,19,17,12,14,26,11,18,13,10,20,12,13,14,15,14,15,9,17,14,14,15,12,13,13,12,11,8,15,10,11,11,6,15,2,7,9,6,6,10,10,7,10,10,7,13,6,7,6,8,8,7,3,6,6,4,4,8,6,9,4,3,6,3,3,3,1,3,2,2,1,3,6,1,3,3,1,2,0,1,0,6,0,1,1,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Norway_Town_or_small_city,0,0,3,4,3,3,4,8,6,8,9,3,3,6,8,5,8,9,5,5,8,5,5,5,5,6,5,9,7,4,5,5,10,3,9,6,3,10,6,7,6,3,9,10,6,11,6,5,7,6,3,11,7,4,10,8,8,7,3,6,10,6,5,9,8,6,3,15,6,6,11,3,6,7,8,13,11,7,9,9,7,7,6,6,8,7,10,9,6,8,9,4,7,4,2,6,11,5,4,7,1,4,3,4,4,2,8,3,7,2,7,0,5,3,3,2,3,1,6,3,4,4,8,3,2,2,2,1,2,0,2,1,0,3,1,2,1,1,2,4,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
